_Headword,English,Type,Class,Conjugation
fálaigh,fence,v2a,class9,2
fallaingigh,drape,v2b,class10,2
falsaigh,falsify,v2a,class9,2
fan,stay,v1a,class1,1
fánaigh,disperse,v2a,class9,2
fannaigh,weaken,v2a,class9,2
faobhraigh,sharpen,v2a,class9,2
faoileáil,wheel,v1c,class3,1
faoisc,shell,v1b,class2,1
faomh,accept,v1a,class1,1
fás,grow,v1a,class1,1
fásaigh,lay waste,v2a,class9,2
fásáil,face off,v1c,class3,1
fáthmheas,diagnose,v1a,class1,1
feabhsaigh,better,v2a,class9,2
feac,bend,v1a,class1,1
féach,look,v1a,class1,1
féad,be able to,v5,defective,5
feadair,know,v5,defective,5
feagánaigh,chase,v2a,class9,2
feáigh,fathom,v1d,class5,1
fealhnharaigh,assassinate,v2a,class9,2
feall,betray,v1a,class1,1
feamnaigh,cover with seaweed,v2a,class9,2
feanáil,fan,v1c,class3,1
feann,flay,v1a,class1,1
fear,grant,v1a,class1,1
fearastaigh,equip,v2a,class9,2
feargaigh,anger,v2a,class9,2
féastaigh,feast,v2a,class9,2
feic,see,v3,irregular,3
féichiúnaigh,debit,v2a,class9,2
feidhmigh,function,v2b,class10,2
feighil,watch,v1fs,class2,1
feil,suit,v1b,class2,1
feiltigh,felt,v2b,class10,2
féinphailnigh,self-pollinate,v2b,class10,2
feir,house,v1b,class2,1
feistigh,arrange,v2b,class10,2
feith,observe,v1b,class2,1
feoigh,wither,v1d,class5,1
fiach,hunt,v1a,class1,1
fiafraigh,ask,v2a,class9,2
fialaigh,veil,v2a,class9,2
fianaigh,attest,v2a,class9,2
fiar,slant,v1a,class1,1
ficseanaigh,fictionalize,v2a,class9,2
fideáil,feed,v1c,class3,1
fill,bend,v1b,class2,1
filléadaigh,fillet,v2a,class9,2
fimbrigh,fimbriate,v2b,class10,2
fíneáil,fine,v1c,class3,1
fínigh,decay,v2b,class10,2
fionn,whiten; ascertain,v1a,class1,1
fionnachtain,discover,v1b,class2,1
fionnuaraigh,cool,v2a,class9,2
fionraigh,wait,v2a,class9,2
fíor-rothaigh,true-wheel,v2a,class9,2
fíoraigh1,figure; verify,v2a,class9,2
fíordheimhnigh,authenticate,v2b,class10,2
fíorshocraigh,set true,v2a,class9,2
fíorúlaigh,virtualize,v2a,class9,2
fiosraigh,inquire,v2a,class9,2
fireannaigh,masculinize,v2a,class9,2
fírinnigh,justify,v2b,class10,2
fithisigh,orbit,v2b,class10,2
fiuch,boil,v1a,class1,1
flipeáil,flip,v1c,class3,1
fliuch,wet,v1a,class1,1
flocasaigh,flocculate,v2a,class9,2
flosc,excite,v1a,class1,1
fluairídigh,fluoridate,v2b,class10,2
fluairínigh,fluorinate,v2b,class10,2
flúirsigh,make abundant,v2b,class10,2
fo-chuir,undersow,v1b,class2,1
fo-eagraigh,subedit,v2a,class9,2
fo-ghlac,subsume,v1a,class1,1
fo-ordaigh,subordinate,v2a,class9,2
fo-rangaigh,subclassify,v2a,class9,2
fócasaigh,focus,v2a,class9,2
fochiallaigh,connote,v2a,class9,2
fódaigh,bank with sods,v2a,class9,2
fodháil,apportion,v1b,class2,1
fofhostaigh,subemploy,v2a,class9,2
fofhuaigh,understitch,v1d,class5,1
fógair,proclaim,v2c,class11,2
foghearr,undercut,v1a,class1,1
foghlaigh,plunder,v2a,class9,2
foghlaim,leam,v2e,class13,2
foghraigh,sound,v2a,class9,2
foh'on,supplement,v1a,class1,1
foighnigh,endure,v2b,class10,2
foilseán,exhibit,v1a,class1,1
foilsigh,reveal,v2b,class10,2
fóin,serve,v1bx,class4,1
foinsigh,dawn,v2b,class10,2
fóir,help,v1b,class2,1
foirb,knurl,v1b,class2,1
foirbhigh,perfect,v2b,class10,2
foirceann,terminate,v1a,class1,1
fóirdheonaigh,subsidize,v2a,class9,2
foirfigh,complete,v2b,class10,2
foirgnigh,build,v2b,class10,2
fóirigh,face,v2b,class10,2
foirmigh,form,v2b,class10,2
foirmligh,formulate,v2b,class10,2
foithnigh,shelter,v2b,class10,2
fol,molt,v1a,class1,1
folaigh,hide,v2a,class9,2
folc,bathe,v1a,class1,1
folean,follow after,v1a,class1,1
foleath,underlay,v1a,class1,1
folig,sublet,v1b,class2,1
folinigh,underscore,v2b,class10,2
follúnaigh,rule,v2a,class9,2
folmhaigh,empty,v2a,class9,2
foloisc,scorch,v1b,class2,1
fómhais,tax,v1bx,class4,1
fonsaigh,hoop,v2a,class9,2
foráil,command,v1c,class3,1
foraithin,decree,v2d,class12,2
foraoisigh,afforest,v2b,class10,2
forasaigh,ground,v2a,class9,2
forbair,develop,v2c,class11,2
forbheirigh,boil over,v2b,class10,2
forcáil,fork,v1c,class3,1
forcheil,cover up,v1b,class2,1
forchéimnigh,proceed,v2b,class10,2
forchiaUaigh,connote,v2a,class9,2
forchlóigh,overprint,v1d,class5,1
forchneasaigh,cicatrize,v2a,class9,2
forchoimeád,reserve,v1a,class1,1
forchóirigh,overhaul,v2b,class10,2
forchuimil,grate,v2d,class12,2
forchuir,impose,v1b,class2,1
forchúitigh,recoup,v2b,class10,2
fordhing,press down,v1b,class2,1
fordhóigh,scorch,v1d,class5,1
fordhubhaigh,darken,v2a,class9,2
foréignigh,force,v2b,class10,2
foréiligh,requisition,v2b,class10,2
forfheidhmigh,implement,v2b,class10,2
forfhill,overfold,v1b,class2,1
forfhuaraigh,supercool,v2a,class9,2
forghabh,grasp,v1a,class1,1
forghair,summon,v1b,class2,1
forghéill,forfeit,v1b,class2,1
forghníomhaigh,execute,v2a,class9,2
forghoin,wound severely,v1b,class2,1
forghrádaigh,prograde,v2a,class9,2
foriaigh,close,v1d,class5,1
foriéas,demise,v1a,class1,1
forlámhaigh,dominate,v2a,class9,2
forleag,overlay,v1a,class1,1
forlean,adhere,v1a,class1,1
forleath,broadcast,v1a,class1,1
forleathnaigh,widen,v2a,class9,2
forléirigh,construe,v2b,class10,2
forlíon,overfill,v1a,class1,1
forloisc,fire,v1b,class2,1
forluigh,overlap,v1h,class8,1
formáidigh,format,v2b,class10,2
formhéadaigh,magnify,v2a,class9,2
formheas,approve,v1a,class1,1
formhínigh,elaborate,v2b,class10,2
formhol,eulogize,v1a,class1,1
formhúch,smother,v1a,class1,1
formhuinigh,endorse,v2b,class10,2
formhuirearaigh,surcharge,v2a,class9,2
forógair,proclaim,v2c,class11,2
foroinn,subdivide,v1b,class2,1
forordaigh,preordain,v2a,class9,2
fórsáil,force,v1c,class3,1
forscaoil,loose,v1b,class2,1
forsceith,overflow,v1b,class2,1
forscríobh,overwrite,v1a,class1,1
forsháithigh,supersaturate,v2b,class10,2
forshéid,overblow,v1b,class2,1
forshrathnaigh,overlie,v2a,class9,2
forshuigh,superimpose,v1h,class8,1
fortaigh,aid,v2a,class9,2
forthacht,garrotte,v1a,class1,1
forthairg,tender,v1b,class2,1
forthéigh,superheat,v1e,class6,1
fortheilg,project,v1b,class2,1
forthiomáin,overrun,v1b,class2,1
foruaisligh,ennoble,v2b,class10,2
forualaigh,overload,v2a,class9,2
foscríobh,subscribe,v1a,class1,1
fosfáitigh,phosphatize,v2b,class10,2
fostaigh,hire,v2a,class9,2
fostríoc,underscore,v1a,class1,1
fótachóipeáil,photocopy,v1c,class3,1
fothaigh,found,v2a,class9,2
fothainigh,shelter,v2b,class10,2
fotheidealaigh,subtitle,v2a,class9,2
fothraig,bathe,v1bx,class4,1
frainceáil,frank,v1c,class3,1
frainseáil,fringe,v1c,class3,1
frámaigh,frame,v2a,class9,2
frámáil,frame,v1c,class3,1
frapáil,prop,v1c,class3,1
frasaigh,shower,v2a,class9,2
freagair,answer,v2c,class11,2
fréaimhshamhaltaigh,prototype,v2a,class9,2
fréamhaigh,root,v2a,class9,2
freang,twist,v1a,class1,1
freasaigh,react,v2a,class9,2
freaschuir,reverse,v1b,class2,1
freastail,attend,v2f,class13,2
frioch,fry,v1a,class1,1
friotaigh,resist,v2a,class9,2
friotháil,attend,v1c,class3,1
frisnéis,refute,v1b,class2,1
frith-chómhalartaigh,anticommute,v2a,class9,2
fritháirigh,set off,v2b,class10,2
frithbheartaigh,counteract,v2a,class9,2
frithbhuail,strike against,v1b,class2,1
frithchaith,reflect,v1b,class2,1
frithchothromaigh,counterbalance,v2a,class9,2
frithéiligh,counterclaim,v2b,class10,2
frithgheall,underwrite,v1a,class1,1
frithghrúomhaigh,react,v2a,class9,2
frithingigh,reciprocate,v2b,class10,2
frithionsaigh,counterattack,v2a,class9,2
frithmháirseáil,countermarch,v1c,class3,1
frithoibrigh,negate,v2b,class10,2
frithráigh,contradict,v1d,class5,1
frithsheiptigh,antisepticize,v2b,class10,2
frithsheol,reverse,v1a,class1,1
frithshuigh,contrast,v1h,class8,1
frithspréigh,reverberate,v1e,class6,1
fritoll,counterbore,v1a,class1,1
fruilcheannaigh,hire-purchase,v2a,class9,2
fruiligh,engage,v2b,class10,2
fuadaigh,abduct,v2a,class9,2
fuaidrigh,wander,v2b,class10,2
fuaigh,sew,v1d,class5,1
fuaiminsligh,sound-insulate,v2b,class10,2
fuaimnigh,pronounce,v2b,class10,2
fual,urinate,v1a,class1,1
fuaraigh,cool,v2a,class9,2
fuardheataigh,cold-smoke,v2a,class9,2
fuarfhaghair,chill,v2c,class11,2
fuascail,release,v2c,class11,2
fuathaigh,hate,v2a,class9,2
fuiligh,bleed,v2b,class10,2
fuin',knead,v1b,class2,1
fuin2,set,v1b,class2,1
fuinnmhigh,energize,v2b,class10,2
fuipeáil,whip,v1c,class3,1
fuirigh,wait,v2b,class10,2
fuirsigh,harrow,v1x,class13,1
fulaing,bear,v2e,class13,2
futráil,jabber,v1c,class3,1
gabh,take,v1a,class1,1
gabháil,capture,v1c,class3,1
gabhlaigh,fork,v2a,class9,2
Gaelaigh,Hibemicize,v2a,class9,2
gág,crack,v1a,class1,1
gaibhnigh',forge,v2b,class10,2
gaibhnigh2,impound,v2b,class10,2
gaimisigh,gamish,v2b,class10,2
gaineamhrois,sandblast,v1b,class2,1
gáinneáil,traffic,v1c,class3,1
gainnigh,scale,v2b,class10,2
gair,call,v1b,class2,1
gáir,shout,v1b,class2,1
gairdigh,rejoice,v2b,class10,2
gairidigh,shorten,v2b,class10,2
gairmiúlaigh,professionalize,v2a,class9,2
gais,gush,v1b,class2,1
gaistigh,trap,v2b,class10,2
galaigh,vaporize,v2a,class9,2
galbhánaigh,galvanize,v2a,class9,2
galldaigh,foreignize,v2a,class9,2
gallúnaigh,saponify,v2a,class9,2
galphreasáil,steampress,v1c,class3,1
galraigh,sicken,v2a,class9,2
galstobh,braise,v1a,class1,1
gannaigh,make scarce,v2a,class9,2
ganniomlánaigh,undertotal,v2a,class9,2
ganniontráil,understate,v1c,class3,1
gannléigh,underread,v1e,class6,1
gannmharcáil,undermark,v1c,class3,1
gannmheas,underestimate,v1a,class1,1
gaolaigh,relate,v2a,class9,2
gaothraigh,fan,v2a,class9,2
gaothstoith,windthrow,v1d,class5,1
garbhaigh,roughen,v2a,class9,2
garbhfhíoraigh,verify roughly,v2a,class9,2
garbhshnoigh,roughhew,v1h,class8,1
garbhtheilg,roughcast,v1b,class2,1
garbhtholl,roughbore,v1a,class1,1
gardáil,guard,v1c,class3,1
gargaigh,make harsh,v2a,class9,2
gargraisigh,gargle,v2b,class10,2
gásaigh,£as,v2a,class9,2
gasumpáil,gazump,v1c,class3,1
gasundráil,gazunder,v1c,class3,1
gathaigh1,sting; gaff,v2a,class9,2
geab,talk,v1a,class1,1
geafáil,gaff,v1c,class3,1
géagaigh,branch,v2a,class9,2
geal,whiten,v1a,class1,1
geal-leasaigh,taw,v2a,class9,2
geall,pledge,v1a,class1,1
geallearb,pawn,v1a,class1,1
geamhaigh,blur,v2a,class9,2
geamhraigh,spring,v2a,class9,2
géaraigh,sharpen,v2a,class9,2
gearáin,complain,v1bx,class4,1
géarísligh,plungc,v2b,class10,2
géarphrímeáil,sharp-prime,v1c,class3,1
gearr,cut,v1a,class1,1
gearrchiorcad,short-circuit,v1a,class1,1
gearrUostaigh,shortlist,v2a,class9,2
geilitínigh,gelatinize,v2b,class10,2
géim,beUow,v1b,class2,1
geimhligh,fetter,v2b,class10,2
geimhreánaigh,winterize,v2a,class9,2
geimhrigh,winter,v2b,class10,2
geiminigh,geminate,v2b,class10,2
geit,jump,v1b,class2,1
géil,yield,v1b,class2,1
geoidligh,yodel,v2b,class10,2
geoshuigh,georeference,v1h,class8,1
giaráil,gear,v1c,class3,1
giarsáil,joist,v1c,class3,1
gibir,dribble,v2d,class12,2
gin,givc birth to,v1b,class2,1
ginearálaigh,generalize,v2a,class9,2
ginidigh,germinate,v2b,class10,2
ginmhill,abort,v1b,class2,1
giob,pick,v1a,class1,1
gíog,cheep,v1a,class1,1
giolc,cane; tweet,v1a,class1,1
gíoráil,gyrate,v1c,class3,1
giorraigh,shorten,v2a,class9,2
giortaigh,shorten,v2a,class9,2
giortáil,gird,v1c,class3,1
giosáil,fizz,v1c,class3,1
giotaigh,break in bits,v2a,class9,2
giollaigh,lead,v2a,class9,2
giúmaráil,humor,v1c,class3,1
glac,take,v1a,class1,1
glaeigh,glue,v1d,class5,1
glam,bark,v1a,class1,1
glám,grab,v1a,class1,1
glan,clean,v1a,class1,1
glanluacháil,net,v1c,class3,1
glaoigh,call,v1d,class5,1
glasaigh,become green,v2a,class9,2
glasáil,lock,v1c,class3,1
glasfhuaigh,catch-stitch,v1d,class5,1
gleadhair,pelt,v1f,class14,1
glean,stick,v1a,class1,1
gleanaigh,agglutinate,v2a,class9,2
gléas,adjust,v1a,class1,1
gléasaistrigh,transpose,v2b,class10,2
gléghlan,clarify,v1a,class1,1
gléir,gley,v1b,class2,1
gleois,babble,v1b,class2,1
glicrínigh,glycerinate,v2b,class10,2
gligleáil,clink,v1c,class3,1
glinneáil,wind,v1c,class3,1
glinnigh,scrutinize,v2b,class10,2
gliogáil,click,v1c,class3,1
gliúáil,glue,v1c,class3,1
gloinigh,vitrify,v2b,class10,2
glóirigh,glorify,v2b,class10,2
glónraigh,glaze,v2a,class9,2
glóraigh,voice,v2a,class9,2
glórmharaigh,glorify,v2a,class9,2
glóthaigh,gel,v2a,class9,2
gluais,move,v1b,class2,1
glúinigh,proliferate,v2b,class10,2
gnáthaigh,practice,v2a,class9,2
gnáthaigh,practice,v2a,class9,2
gnéasaithin,sex,v1b,class2,1
gnéithigh,mend,v2b,class10,2
gniomhachtaigh,activate,v2a,class9,2
gníomhaigh,act,v2a,class9,2
gníomhraigh,actuate,v2a,class9,2
gnipáil,group,v1c,class3,1
gnnnbhreathnaigh,scrutinize,v2a,class9,2
gnóthaigh,win,v2a,class9,2
gnóthaigh,win,v2a,class9,2
gob,peck,v1a,class1,1
góchum,counterfeit,v1a,class1,1
gófráil,goffer,v1c,class3,1
gogail,gobble,v2f,class13,2
goid,steal,v1b,class2,1
goid,steal,v1b,class2,1
goil,weep,v1b,class2,1
goiligh,gut,v2b,class10,2
goill,grieve,v1b,class2,1
goin,wound,v1b,class2,1
gor,heat,v1a,class1,1
gormaigh,color blue,v2a,class9,2
gortaigh,hurt,v2a,class9,2
gortghlan,weed out,v1a,class1,1
gotháil,gesticulate,v1c,class3,1
goil,weep,v1b,class2,1
grabáil,grab,v1c,class3,1
grábháil,engrave,v1c,class3,1
grádaigh,grade,v2a,class9,2
graf,graph,v1a,class1,1
grafshaothraigh,assart,v2a,class9,2
gráigh,love,v1d,class5,1
gráinigh,hate,v2b,class10,2
gráinnigh,grain,v2b,class10,2
gráinseáil,nibble,v1c,class3,1
gránaigh,granulate,v2a,class9,2
grátáil,grate,v1c,class3,1
gread,strike <,v1a,class1,1
greagnaigh,pave,v2a,class9,2
greamaigh,attach,v2a,class9,2
grean,engrave,v1a,class1,1
greanáil,sand,v1c,class3,1
greannaigh,irritate,v2a,class9,2
greanrois,gritblast,v1b,class2,1
greasáil,beat,v1c,class3,1
gréisc,grease,v1b,class2,1
gréiseáil,grease,v1c,class3,1
grian,sun,v1a,class1,1
grianraigh,insoiate,v2a,class9,2
grinndearc,scrutinize,v1a,class1,1
grinneall,sound,v1a,class1,1
grinnigh,scrutinize,v2b,class10,2
grinnscrúdaigh,examine closely,v2a,class9,2
griog,tease,v1a,class1,1
grioll,grill,v1a,class1,1
griosaigh,fíre,v2a,class9,2
gríosc,broil,v1a,class1,1
griotháil,grunt,v1c,class3,1
griothalrois,gritblast,v1b,class2,1
grod,quicken,v1a,class1,1
grodloisc,deflagrate,v1b,class2,1
gróig,foot,v1b,class2,1
gruáil,facet,v1c,class3,1
gruamaigh,darken,v2a,class9,2
grúdaigh,brew,v2a,class9,2
grúntáil,sound,v1c,class3,1
grútáil,grout,v1c,class3,1
gruthaigh,curdle,v2a,class9,2
guaileáil,shoulder,v1c,class3,1
guairigh,bristle,v2b,class10,2
gualaigh,char,v2a,class9,2
gúgláil,google,v1c,class3,1
guigh,pray,v1h,class8,1
guilbnigh,peck,v2b,class10,2
gúistigh,gouge,v2b,class10,2
gumaigh,gum,v2a,class9,2
guthaigh,voice,v2a,class9,2
guileáil,gull,v1c,class3,1
haemalaigh,hemolyze,v2a,class9,2
haicleáil,hackle,v1c,class3,1
haigleáil,haggle,v1c,class3,1
haiseáil,hash,v1c,class3,1
haisteáil,hatch,v1c,class3,1
hapáil,hop,v1c,class3,1
héadaigh,hade,v2a,class9,2
Heilléanaigh,Hellenize,v2a,class9,2
hibridigh,hybridize,v2b,class10,2
hidrealaigh,hydrolyze,v2a,class9,2
hidriginigh,hydrogenate,v2b,class10,2
híleáil,heel,v1c,class3,1
hinigh,henna,v2b,class10,2
hiodráitigh,hydrate,v2b,class10,2
hiopnóisigh,hypnotize,v2b,class10,2
hipearanálaigh,hyperventilate,v2a,class9,2
hipearluchtaigh,hypercharge,v2a,class9,2
homaiginigh,homogenize,v2b,class10,2
húcáil,hook,v1c,class3,1
hulahupáil,hula-hoop,v1c,class3,1
iadaigh,iodize,v2a,class9,2
iamaigh,fetter,v2a,class9,2
ianaigh,ionize,v2a,class9,2
iar-réasúnaigh,rationalize,v2a,class9,2
iarcheangail,append,v2c,class11,2
iarchuir,defer,v1b,class2,1
iardhátaigh,postdate,v2a,class9,2
iarnáil,iron,v1c,class3,1
iarr,request,v1a,class1,1
iartharaigh,westemize,v2a,class9,2
iasachtaigh,lend,v2a,class9,2
iasc,fish,v1a,class1,1
idéalaigh,idealize,v2a,class9,2
ídigh,use,v2b,class10,2
idir-réitigh,conciliate,v2b,class10,2
idir-roinn,partition,v1b,class2,1
idirbheartaigh,negotiate,v2a,class9,2
idirbhris,interrupt,v1b,class2,1
idircheap,intercept,v1a,class1,1
idirchuir,interpose,v1b,class2,1
idirdhealaigh,differentiate,v2a,class9,2
idirdhuilligh,interleave,v2b,class10,2
idirfhás,intergrow,v1a,class1,1
idirfhásáil,interface,v1c,class3,1
idirfhigh,interweave,v1h,class8,1
idirghabh,intervene,v1a,class1,1
idirghníomhaigh,interact,v2a,class9,2
idirláimhsigh,intermcddle with,v2b,class10,2
idirleath,diffuse,v1a,class1,1
idirlínigh,interline,v2b,class10,2
idirmhalartaigh,interchange,v2a,class9,2
idirmhínigh,interpret,v2b,class10,2
idirphléigh,interface,v1d,class5,1
idirscar,part,v1a,class1,1
idirscoir,interrupt,v1b,class2,1
idirsháigh,intercalatc,v1d,class5,1
idirshuigh,interpose,v1h,class8,1
idirstcali,interject,v1a,class1,1
ieag,knock down,v1a,class1,1
ilbhliantaigh,perennate,v2a,class9,2
ilchóipeáil,manifold,v1c,class3,1
ileagraigh,array,v2a,class9,2
íligh,oil,v2b,class10,2
ilphléacsaigh,multiplex,v2a,class9,2
imaistrigh,move about,v2b,class10,2
imalartaigh,reprieve,v2a,class9,2
imchas,rotate,v1a,class1,1
imchéimnigh,walk about,v2b,class10,2
imchlóigh,tum about,v1d,class5,1
imchlúdaigh,envelop,v2a,class9,2
imchochlaigh,encapsulate,v2a,class9,2
imchosain,defend,v2c,class11,2
imchroith,sprinkle,v1b,class2,1
imdháil,distribute,v1b,class2,1
imdhealaigh,separate,v2a,class9,2
imdhearg,reproach,v1a,class1,1
imdhíon,immunize,v1a,class1,1
imdhion-mhcasúnaigh,immunoassay,v2a,class9,2
imdhíon-mhodhnaigh,immunomodulate,v2a,class9,2
imdhruid,encompass,v1b,class2,1
imeaglaigh,intimidate,v2a,class9,2
imeallaigh,marginalize,v2a,class9,2
imeasc,integrate,v1a,class1,1
imfhálaigh,enclose,v2a,class9,2
imghabh,avoid,v1a,class1,1
imghlan,cleanse,v1a,class1,1
imigh,go,v2b,class10,2
imir,play,v2d,class12,2
imirc,migrate,v1b,class2,1
imlinigh,outline,v2b,class10,2
imloisc,singe,v1b,class2,1
imlonnaigh,deploy,v2a,class9,2
imoibrigh,react,v2b,class10,2
imphléasc,collapse,v1a,class1,1
impigh,entreat,v2b,class10,2
impleachtaigh,imply,v2a,class9,2
impórtáil,import,v1c,class3,1
imréitigh,clear,v2b,class10,2
imrigh,tint,v2b,class10,2
imroinn,segment,v1b,class2,1
imrothlaigh,revolve,v2a,class9,2
imscaoil,scatter about,v1b,class2,1
imscar,separate,v1a,class1,1
imscríobh,circumscribe,v1a,class1,1
imscrúdaigh,investigate,v2a,class9,2
imshiúil,circumambulate,v1bx,class4,1
imshocraigh,compound,v2a,class9,2
imshuigh,invest,v1h,class8,1
imthairg,bid,v1b,class2,1
imtharraing,attract,v2e,class13,2
imtheorannaigh,intem,v2a,class9,2
imthnúth,envy,v1a,class1,1
imthreascair,wrestle,v2c,class11,2
inbhéartaigh,invert,v2a,class9,2
incrimintigh,increment,v2b,class10,2
indeoisigh,incardinate,v2b,class10,2
indhealaigh,separate out,v2a,class9,2
indibhidigh,individuate,v2b,class10,2
indibhidiúlaigh,individualize,v2a,class9,2
ineirgigh,energize,v2b,class10,2
infeirigh,infer,v2b,class10,2
infheistigh,invest,v2b,class10,2
infhill,fold inwards,v1b,class2,1
inghreamaigh,inhere,v2a,class9,2
inghreim,persecute,v1b,class2,1
ingnigh,claw,v2b,class10,2
iniaigh,enclose,v1d,class5,1
inis,tell,v2d,class12,2
inísligh,humble,v2b,class10,2
iniúch,scrutinize,v1a,class1,1
inleag,inlay,v1a,class1,1
inleath,suffuse,v1a,class1,1
inmheánaigh,intemalize,v2a,class9,2
inmhíolaigh,infest,v2a,class9,2
innéacsaigh,index,v2a,class9,2
inneallfhuaigh,machine-sew,v1d,class5,1
inneallghrean,engine-turn,v1a,class1,1
innghread,tip,v1a,class1,1
innill,arrange,v2d,class12,2
inniúlaigh,capacitate,v2a,class9,2
inphléasc,implode,v1a,class1,1
inréimnigh,converge,v2b,class10,2
inscríobh,inscribe,v1a,class1,1
insealbhaigh,invest,v2a,class9,2
inseamhnaigh,inseminate,v2a,class9,2
insil,instill,v1b,class2,1
insíothlaigh,infiltrate,v2a,class9,2
insligh,insulate,v2b,class10,2
inspreag,inspire,v1a,class1,1
insteall,inject,v1a,class1,1
insuigh,plug in,v1h,class8,1
inteilg,introject,v1b,class2,1
intit,collapse,v1b,class2,1
íobair,sacrifice,v2c,class11,2
ioc1,pay,v1a,class1,1
íoc2,heal,v1a,class1,1
ioclcasaigh,medicate,v2a,class9,2
iodálaigh,italicize,v2a,class9,2
iogh,remit,v1a,class1,1
iograigh,sensitize,v2a,class9,2
iolraigh,multiply,v2a,class9,2
iomadaigh,multiply,v2a,class9,2
iomáin,hurl,v1b,class2,1
iomair,row,v2c,class11,2
iomalartaigh,commute,v2a,class9,2
iomardaigh,reproach,v2a,class9,2
iomasaigh,intuit,v2a,class9,2
iombháigh,submerge,v1d,class5,1
iomlaisc,tumble,v1bx,class4,1
iomlánaigh,complete,v2a,class9,2
iomlaoidigh,fluctuate,v2b,class10,2
iomluaigh,move,v1d,class5,1
iompaigh,tum,v2a,class9,2
iompair,carry,v2c,class11,2
iompórtáil,import,v1c,class3,1
ion-análaigh,inhale,v2a,class9,2
ionaclaigh,inoculate,v2a,class9,2
ionadaigh,place,v2a,class9,2
ionaigh,purify,v2a,class9,2
ionannaigh,equalize,v2a,class9,2
ionchasaigh,anticipate,v2a,class9,2
ionchlannaigh,implant,v2a,class9,2
ionchódaigh,encode,v2a,class9,2
ionchoirigh,incriminate,v2b,class10,2
ionchollaigh,incarnate,v2a,class9,2
ionchorpraigh,incorporate,v2a,class9,2
ionchuir,input,v1b,class2,1
ionchúisigh,prosecute,v2b,class10,2
ionchultúraigh,inculturate,v2a,class9,2
iondoirt,infuse,v1b,class2,1
ionduchtaigh,induce,v2a,class9,2
ionfhabhtaigh,infect,v2a,class9,2
ionfhaighnigh,invaginate,v2b,class10,2
ionghabh,ingest,v1a,class1,1
íonghlan,purify,v1a,class1,1
ionnail,wash,v1fx,class15,1
ionphlandaigh,implant,v2a,class9,2
ionphóraigh,inbreed,v2a,class9,2
ionradaigh,irradiate,v2a,class9,2
ionramháil,handle,v1c,class3,1
ionsaigh,attack,v2a,class9,2
ionsáigh,insert,v1d,class5,1
ionsamhlaigh,simulate,v2a,class9,2
ionsoilsigh,illuminate,v2b,class10,2
ionstraimigh,instrument,v2b,class10,2
ionsuigh,plug in,v1h,class8,1
ionsúigh,absorb,v1d,class5,1
iontaigh,immit,v2a,class9,2
iontaisigh,fossilize,v2b,class10,2
iontonaigh,intone,v2a,class9,2
iontráil,enter,v1c,class3,1
íoschéimnigh,step down,v2b,class10,2
íosfhreang,downwarp,v1a,class1,1
íosghrádaigh,downgrade,v2a,class9,2
íoslaghdaigh,minimize,v2a,class9,2
ioslódáil,download,v1c,class3,1
iosmhéadaigh,minimize,v2a,class9,2
íosnasc,downlink,v1a,class1,1
íospair,ill-treat,v2c,class11,2
íosreoigh,deep-freeze,v1d,class5,1
irisigh,gazette,v2b,class10,2
ísligh,lower,v2b,class10,2
ith,eat,v3,irregular,3
jeamáil,jam,v1c,class3,1
jeidhbeáil,jibe,v1c,class3,1
jeighbheáil,jive,v1c,class3,1
labáil,lob,v1c,class3,1
labhair,speak,v2c,class11,2
ládáil,lade,v1c,class3,1
lag,ease,v1a,class1,1
lagaigh,weaken,v2a,class9,2
laghdaigh,lessen,v2a,class9,2
láib,muddy,v1b,class2,1
laibhínigh,leaven,v2b,class10,2
Laidinigh,Latinize,v2b,class10,2
láidrigh,strengthen,v2b,class10,2
láigh,dawn,v1d,class5,1
láimhseáil,manage ,v1c,class3,1
láimhsigh,handle,v2b,class10,2
lainseáil,launch,v1c,class3,1
laíonáil,pulp,v1c,class3,1
láist,leach,v1b,class2,1
laisteáil,latch,v1c,class3,1
láithrigh,appear,v2b,class10,2
lámhacán,walk,v1a,class1,1
lámhach,shoot,v1a,class1,1
lámhaigh,shoot,v2a,class9,2
lamháil,allow,v1c,class3,1
lámhfhuaigh,handsew,v1d,class5,1
lámhphriontáil,handprint,v1c,class3,1
lámhscaoil,manumit,v1b,class2,1
lámhtheann,handtighten,v1a,class1,1
lánaigh,fill out,v2a,class9,2
lannaigh,laminate,v2a,class9,2
lansaigh,lance,v2a,class9,2
lánscoir,dissolve,v1b,class2,1
lánseiceáil,check out,v1c,class3,1
lántáblaigh,full-tab,v2a,class9,2
laobh,bend,v1a,class1,1
laoin,stretch out,v1b,class2,1
láraigh,centralize,v2a,class9,2
lárnaigh,center,v2a,class9,2
las,light,v1a,class1,1
lásáil,lace,v1c,class3,1
lasairdhíon,flameproof,v1a,class1,1
lasc,lash,v1a,class1,1
lascainigh,discount,v2b,class10,2
lascfhuaigh,whipstitch,v1d,class5,1
lastáil,lade,v1c,class3,1
lataigh,slat,v2a,class9,2
lcachtaigh,liquefy,v2a,class9,2
lcamh,render impotent,v1a,class1,1
lcamhsháinnigh,stalemate,v2b,class10,2
leabaigh,bed,v2a,class9,2
leabashiúntáil,bed-joint,v1c,class3,1
leabhlaigh,libel,v2a,class9,2
