_Headword,English,Type,Class,Conjugation
cros-síolraigh,crossbreed,v2a,class9,2
cros-siúntáil,cross-joint,v1c,class3,1
cros-toirchigh,cross-fertilize,v2b,class10,2
crosáil,cross,v1c,class3,1
croscheistigh,cross-examine,v2b,class10,2
croschoisc,cross-check,v1b,class2,1
crosfhigh,interlace,v1h,class8,1
crosghrean,crosshatch,v1a,class1,1
crosphóraigh,crossbreed,v2a,class9,2
crostagair,cross-reference,v2c,class11,2
crostreabh,cross-plow,v1a,class1,1
crotaigh,blank out,v2a,class9,2
cruach,stack,v1a,class1,1
cruachódaigh,hardcode,v2a,class9,2
cruaigh,harden,v1d,class5,1
cruan,enamel,v1a,class1,1
cruashádráil,hard-solder,v1c,class3,1
cruashreangaigh,hard-wire,v2a,class9,2
crúbáil,claw,v1c,class3,1
crúcáil,hook,v1c,class3,1
crúigh,milk; shoe,v1d,class5,1
cruinnchóirigh,round off,v2b,class10,2
cruinnfhioraigh,verify exactly,v2a,class9,2
cruinnigh,gather,v2b,class10,2
crústaigh,pelt,v2a,class9,2
crústáil,drub,v1c,class3,1
cruthaigh,create,v2a,class9,2
cruthmhúnlaigh,swage,v2a,class9,2
cuach,bundle,v1a,class1,1
cuaileáil,coil,v1c,class3,1
cuailligh,stud,v2b,class10,2
cuairdbhradaigh,lap,v2a,class9,2
cuairdscoith,lap,v1d,class5,1
cuar,curve,v1a,class1,1
cuardaigh,search,v2a,class9,2
cuasaigh,cup,v2a,class9,2
cúb,bend,v1a,class1,1
cUbeáil,tag,v1c,class3,1
cúbláil,grab,v1c,class3,1
cuibhigh,adapt,v2b,class10,2
cuibhrigh,bind,v2b,class10,2
cuíchóirigh,streamline,v2b,class10,2
cuideachtaigh,associate,v2a,class9,2
cuidigh,aid,v2b,class10,2
cúigleáil,cheat,v1c,class3,1
cuileáil,discard,v1c,class3,1
cuilteáil,quilt,v1c,class3,1
cuimhnigh,remember,v2b,class10,2
cuimil,rub,v2d,class12,2
cuimsigh,comprehend,v2b,class10,2
cuingigh,yoke,v2b,class10,2
cuingrigh,yoke,v2b,class10,2
cúinneáil,comer,v1c,class3,1
cúiréad,curette,v1a,class1,1
cúisigh,accuse,v2b,class10,2
cuisleannaigh,flute,v2a,class9,2
cuisligh,flow,v2b,class10,2
cuisnigh,freeze,v2b,class10,2
cúitigh,requite,v2b,class10,2
cúlaigh,back,v2a,class9,2
cúláil,back,v1c,class3,1
cúlcham,stockpile,v1a,class1,1
cúlchas,rewind,v1a,class1,1
cúlcheadaigh,connive at,v2a,class9,2
cúlchlóigh,perfect,v1d,class5,1
cúléist,eavesdrop,v1b,class2,1
cúlghair,revoke,v1b,class2,1
cúlghearr,backbite,v1a,class1,1
cúlghlan,back out,v1a,class1,1
cúliompaigh,retreat,v2a,class9,2
cúlséid,backwind,v1b,class2,1
cúlsleamhnaigh,backslide,v2a,class9,2
cúlsmiot,backchip,v1a,class1,1
cúlspásáil,backspace,v1c,class3,1
cúltacaigh,back up,v2a,class9,2
cúltarraing,drag,v2e,class13,2
cúltort,backfire,v1a,class1,1
cum,form,v1a,class1,1
cumaisc,blend,v1bx,class4,1
cumasaigh,enable,v2a,class9,2
cumhachtaigh,empower,v2a,class9,2
cumhdaigh,cover,v2a,class9,2
cumhraigh,perfume,v2a,class9,2
cumhsanaigh,rest,v2a,class9,2
cumhscaigh,move,v2a,class9,2
cumraigh,configure,v2a,class9,2
cúnaigh,help,v2a,class9,2
cúnantaigh,covenant,v2a,class9,2
cúngaigh,narrow,v2a,class9,2
cuntais,count,v1b,class2,1
cupalaigh,cupel,v2a,class9,2
cúpláil,couple,v1c,class3,1
cúr,chastise,v1a,class1,1
cúrsáil,cruise,v1c,class3,1
dabáil,dab,v1c,class3,1
dáil,portion out,v1b,class2,1
daingnigh,fortify,v2b,class10,2
dall,blind,v1a,class1,1
dallraigh,blind,v2a,class9,2
damáistigh,damage,v2b,class10,2
damascaigh,damascene,v2a,class9,2
dambáil,dam,v1c,class3,1
dámh,concede,v1a,class1,1
damhain,tame,v1f,class14,1
damhnaigh,materiaUze,v2a,class9,2
damhsaigh,dance,v2a,class9,2
damnaigh,damn,v2a,class9,2
daoirsigh,price-raise,v2b,class10,2
daonlathaigh,democratize,v2a,class9,2
daonnaigh,humanize,v2a,class9,2
daor,enslave,v1a,class1,1
daorbhasc,maul severely,v1a,class1,1
dar,it seems,v5,defective,5
dátaigh,date,v2a,class9,2
dath,aUocate,v1a,class1,1
dathaigh,color,v2a,class9,2
dathdhealaigh,separate,v2a,class9,2
daUscriobh,blind-write,v1a,class1,1
dea-mheas,approve,v1a,class1,1
déabhlóidigh,devolve,v2b,class10,2
deachaigh,decimate,v2a,class9,2
deachair,differentiate,v2c,class11,2
deachtaigh,indite,v2a,class9,2
deachúlaigh,decimaUze,v2a,class9,2
déaduchtaigh,deduce,v2a,class9,2
dealagáidigh,delegate,v2b,class10,2
dealaigh,part,v2a,class9,2
dealbhaigh,sculpture; impoverish,v2a,class9,2
dealraigh,iUuminate,v2a,class9,2
deamáil,dam,v1c,class3,1
déan,do,v3,irregular,3
deann,color,v1a,class1,1
déantúsaigh,manufacture,v2a,class9,2
dear,draw,v1a,class1,1
dearbhaigh,declare,v2a,class9,2
dearbhasc,affirm,v1a,class1,1
dearbháil,test,v1c,class3,1
dearc,look,v1a,class1,1
dearg,redden,v1a,class1,1
dearlaic,grant,v1bx,class4,1
dearmad,forget,v1a,class1,1
dearóiligh,debase,v2b,class10,2
dearscnaigh,excel,v2a,class9,2
deasaigh,dress,v2a,class9,2
deasc,settle,v1a,class1,1
deaschliceáil,right-cfick,v1c,class3,1
deasghliogáil,right-cUck,v1c,class3,1
deaslabhair,articulate,v2c,class11,2
deataigh,smoke,v2a,class9,2
déchliceáil,double-click,v1c,class3,1
deicrimintigh,decrement,v2b,class10,2
deifhídigh,define,v2b,class10,2
deifrigh,hurry,v2b,class10,2
deighil,part,v1fs,class2,1
deil,tum on lathe,v1b,class2,1
deilbhigh,frame,v2b,class10,2
déileáil,deal,v1c,class3,1
deimhneasc,aver,v1a,class1,1
deimhnigh,certify,v2b,class10,2
deisigh,mend,v2b,class10,2
deoch,immerse,v1a,class1,1
deochraigh,differentiate,v2a,class9,2
deonaigh,grant,v2a,class9,2
déroinn,bisect,v1b,class2,1
di-adharc,dehom,v1a,class1,1
dí-adhlaic,disinter,v1bx,class4,1
dí-agair,nonsuit,v2c,class11,2
dí-aicéitiligh,deacetylate,v2b,class10,2
dí-armáil,disarm,v1c,class3,1
dí-bhéimnigh,de-emphasize,v2b,class10,2
di-bhurr,deburr,v1a,class1,1
dí-chomhbhailigh,disaggregate,v2b,class10,2
dí-chomhbhrúigh,decompress,v1d,class5,1
dí-chomhordaigh,decollate,v2a,class9,2
dí-chomhroinn,unshare,v1b,class2,1
dí-Chriostaigh,de-Christianize,v2a,class9,2
dí-eaglaisigh,secularize,v2b,class10,2
dí-éilligh,decontaminate,v2b,class10,2
dí-ianaigh,deiorúze,v2a,class9,2
di-ilphléacsaigh,demultiplex,v2a,class9,2
di-innigh,eviscerate,v2b,class10,2
di-leithdháil,de-allocate,v1c,class3,1
dí-ocsaídigh,deoxidize,v2b,class10,2
dí-ocsaiginigh,deoxygenate,v2b,class10,2
di-oighrigh,de-ice,v2b,class10,2
dí-oil,de-skill,v1b,class2,1
dí-reoigh,defrost,v1d,class5,1
dí-shainoidhrigh,disentail,v2b,class10,2
diagaigh,deify,v2a,class9,2
diagnóisigh,diagnose,v2b,class10,2
diailigh,dial,v2b,class10,2
diall,incline,v1a,class1,1
diamhaslaigh,blaspheme,v2a,class9,2
diamhraigh,darken,v2a,class9,2
dianaigh,intensify,v2a,class9,2
diancheistigh,quiz,v2b,class10,2
dianscaoil,break up,v1b,class2,1
diansir,importune,v1b,class2,1
diasraigh,glean,v2a,class9,2
dibh,dismiss,v1b,class2,1
dibharraigh,disbar,v2a,class9,2
díbhealaigh,degrease,v2a,class9,2
dibhéirsigh,diverge,v2b,class10,2
díbhlogh,defragment,v1a,class1,1
díbhoilscigh,deflate,v2b,class10,2
dibholaigh,deodorize,v2a,class9,2
díbholcáinigh,devulcanize,v2b,class10,2
díbholg,deflate,v1a,class1,1
dibhrúigh,depressurize,v1d,class5,1
díbhunaigh,disestablish,v2a,class9,2
díbir,banish,v2d,class12,2
díbligh,wear out,v2b,class10,2
dícháiligh,disqualify,v2b,class10,2
dícharbónaigh,decarbonize,v2a,class9,2
dícheadaigh,disallow,v2a,class9,2
dícheangail,untie,v2c,class11,2
dícheann,behead,v1a,class1,1
dicheil,conceal,v1b,class2,1
díchineálaigh,degenerate,v2a,class9,2
díchleamhnaigh,disaffiliate,v2a,class9,2
díchlibeáil,tag off,v1c,class3,1
díchnámhaigh,bone,v2a,class9,2
díchobhsaigh,destabilize,v2a,class9,2
dichódaigh,decode,v2a,class9,2
dichoigil,dissave,v2d,class12,2
díchóimeáil,dismantle,v1c,class3,1
díchoimisiúnaigh,decommission,v2a,class9,2
dichoirtigh,descale,v2b,class10,2
díchoisric,deconsecrate,v1b,class2,1
díchollaigh,disembody,v2a,class9,2
díchom,unwind,v1a,class1,1
díchónasc,disconnect,v1a,class1,1
díchorónaigh,dethrone,v2a,class9,2
díchreid,disbelieve,v1b,class2,1
díchreidiúnaigh,discredit,v2a,class9,2
díchriptigh,decrypt,v2b,class10,2
díchruach,unstack,v1a,class1,1
díchruthaigh,disprove,v2a,class9,2
díchuach,unbundle,v1a,class1,1
díchuir,eject,v1b,class2,1
díchum,deform,v1a,class1,1
dichumaisc,demerge,v1bx,class4,1
díchumasaigh,disable,v2a,class9,2
díchúpláU,decouple,v1c,class3,1
