aitim,beseech,v5,2
arsa,said,v5,2
dar,it seems,v5,2
dóbair,it nearly happened,v5,1
dtí,come,v5,2
féad,be able to,v5,1
feadair,know,v5,2
ráinigh,reach,v5,1
téana,come,v5,1
