infinitive,english,verbalAdjective,verbalNoun,simplePast1stPersonSingPos,simplePast1stPersonSingInter,simplePast1stPersonSingNeg,simplePast2ndPersonSingPos,simplePast2ndPersonSingInter,simplePast2ndPersonSingNeg,simplePast3rdPersonSingPos,simplePast3rdPersonSingInter,simplePast3rdPersonSingNeg,simplePast1stPersonPlPosAlt,simplePast1stPersonPlInterAlt,simplePast1stPersonPlNegAlt,simplePast1stPersonPlPos,simplePast1stPersonPlInter,simplePast1stPersonPlNeg,simplePast2ndPersonPlPos,simplePast2ndPersonPlInter,simplePast2ndPersonPlNeg,simplePast3rdPersonPlPos,simplePast3rdPersonPlInter,simplePast3rdPersonPlNeg,simplePast3rdPersonPlPosAlt,simplePast3rdPersonPlInterAlt,simplePast3rdPersonPlNegAlt,simplePastImpersonalPos,simplePastImpersonalInter,simplePastImpersonalNeg,present1stPersonSingPos,present1stPersonSingInter,present1stPersonSingNeg,present2ndPersonSingPos,present2ndPersonSingInter,present2ndPersonSingNeg,present3rdPersonSingPos,present3rdPersonSingInter,present3rdPersonSingNeg,present1stPersonPlPosAlt,present1stPersonPlInterAlt,present1stPersonPlNegAlt,present1stPersonPlPos,present1stPersonPlInter,present1stPersonPlNeg,present2ndPersonPlPos,present2ndPersonPlInter,present2ndPersonPlNeg,present3rdPersonPlPos,present3rdPersonPlInter,present3rdPersonPlNeg,presentImpersonalPos,presentImpersonalInter,presentImpersonalNeg,future1stPersonSingPos,future1stPersonSingInter,future1stPersonSingNeg,future2ndPersonSingPos,future2ndPersonSingInter,future2ndPersonSingNeg,future3rdPersonSingPos,future3rdPersonSingInter,future3rdPersonSingNeg,future1stPersonPlPosAlt,future1stPersonPlInterAlt,future1stPersonPlNegAlt,future1stPersonPlPos,future1stPersonPlInter,future1stPersonPlNeg,future2ndPersonPlPos,future2ndPersonPlInter,future2ndPersonPlNeg,future3rdPersonPlPos,future3rdPersonPlInter,future3rdPersonPlNeg,futureImpersonalPos,futureImpersonalInter,futureImpersonalNeg,conditional1stPersonSingPos,conditional1stPersonSingInter,conditional1stPersonSingNeg,conditional2ndPersonSingPos,conditional2ndPersonSingInter,conditional2ndPersonSingNeg,conditional3rdPersonSingPos,conditional3rdPersonSingInter,conditional3rdPersonSingNeg,conditional1stPersonPlPosAlt,conditional1stPersonPlInterAlt,conditional1stPersonPlNegAlt,conditional1stPersonPlPos,conditional1stPersonPlInter,conditional1stPersonPlNeg,conditional2ndPersonPlPos,conditional2ndPersonPlInter,conditional2ndPersonPlNeg,conditional3rdPersonPlPosAlt,conditional3rdPersonPlInterAlt,conditional3rdPersonPlNegAlt,conditional3rdPersonPlPos,conditional3rdPersonPlInter,conditional3rdPersonPlNeg,conditionalImpersonalPos,conditionalImpersonalInter,conditionalImpersonalNeg,habitualPast1stPersonSingPos,habitualPast1stPersonSingInter,habitualPast1stPersonSingNeg,habitualPast2ndPersonSingPos,habitualPast2ndPersonSingInter,habitualPast2ndPersonSingNeg,habitualPast3rdPersonSingPos,habitualPast3rdPersonSingInter,habitualPast3rdPersonSingNeg,habitualPast1stPersonPlPosAlt,habitualPast1stPersonPlInterAlt,habitualPast1stPersonPlNegAlt,habitualPast1stPersonPlPos,habitualPast1stPersonPlInter,habitualPast1stPersonPlNeg,habitualPast2ndPersonPlPos,habitualPast2ndPersonPlInter,habitualPast2ndPersonPlNeg,habitualPast3rdPersonPlPosAlt,habitualPast3rdPersonPlInterAlt,habitualPast3rdPersonPlNegAlt,habitualPast3rdPersonPlPos,habitualPast3rdPersonPlInter,habitualPast3rdPersonPlNeg,habitualPastImpersonalPos,habitualPastImpersonalInter,habitualPastImpersonalNeg,imperative1stPersonSingPos,imperative1stPersonSingNeg,imperative2ndPersonSingPos,imperative2ndPersonSingNeg,imperative3rdPersonSingPos,imperative3rdPersonSingNeg,imperative1stPersonPlPos,imperative1stPersonPlNeg,imperative1stPersonPlPosAlt,imperative1stPersonPlNegAlt,imperative2ndPersonPlPos,imperative2ndPersonPlNeg,imperative3rdPersonPlPos,imperative3rdPersonPlNeg,imperative3rdPersonPlPosAlt,imperative3rdPersonPlNegAlt,imperativeImpersonalPos,imperativeImpersonalNeg,presentSubjunctive1stPersonSingPos,presentSubjunctive1stPersonSingNeg,presentSubjunctive2ndPersonSingPos,presentSubjunctive2ndPersonSingNeg,presentSubjunctive3rdPersonSingPos,presentSubjunctive3rdPersonSingNeg,presentSubjunctive1stPersonPlPos,presentSubjunctive1stPersonPlNeg,presentSubjunctive1stPersonPlPosAlt,presentSubjunctive1stPersonPlNegAlt,presentSubjunctive2ndPersonPlPos,presentSubjunctive2ndPersonPlNeg,presentSubjunctive3rdPersonPlPos,presentSubjunctive3rdPersonPlNeg,presentSubjunctiveImpersonalPos,presentSubjunctiveImpersonalNeg
abair,say,rá,ráite,"dúirt mé","an ndúirt mé?","ní dúirt mé","dúirt tú","an ndúirt tú?","ní dúirt tú","dúirt sé/sí","an ndúirt sé/sí?","ní dúirt sé/sí",dúramar,"an ndúramar?","ní dúramar","dúirt muid","an ndúirt muid?","ní dúirt muid","dúirt sibh","an ndúirt sibh?","ní dúirt sibh","dúirt siad","an ndúirt siad?","ní dúirt siad",dúradar,"an ndúradar?","ní dúradar",dúradh,"an ndúradh?","ní dúradh",deirim,"an ndeirim?","ní deirim","deir tú","an ndeir tú?","ní deir tú","deir sé/sí","an ndeir sé/sí?","ní deir sé/sí",deirimid,"an ndeirimid?","ní deirimid","deir muid","an ndeir muid?","ní deir muid","deir sibh","an ndeir sibh?","ní deir sibh","deir siad","an ndeir siad?","ní deir siad",deirtear,"an ndeirtear?","ní deirtear","déarfaidh mé","an ndéarfaidh mé?","ní déarfaidh mé","déarfaidh tú","an ndéarfaidh tú?","ní déarfaidh tú","déarfaidh sé/sí","an ndéarfaidh sé/sí?","ní déarfaidh sé/sí",déarfaimid,"an ndéarfaimid?","ní déarfaimid","déarfaidh muid","an ndéarfaidh muid?","ní déarfaidh muid","déarfaidh sibh","an ndéarfaidh sibh?","ní déarfaidh sibh","déarfaidh siad","an ndéarfaidh siad?","ní déarfaidh siad",déarfar,"an ndéarfar?","ní déarfar",déarfainn,"an ndéarfainn?","ní déarfainn",déarfá,"an ndéarfá?","ní déarfá","déarfadh sé/sí","an ndéarfadh sé/sí?","ní déarfadh sé/sí",déarfaimis,"an ndéarfaimis?","ní déarfaimis","déarfadh muid","an ndéarfadh muid?","ní déarfadh muid","déarfadh sibh","an ndéarfadh sibh?","ní déarfadh sibh",déarfaidís,"an ndéarfaidís?","ní déarfaidís","déarfadh siad","an ndéarfadh siad?","ní déarfadh siad",déarfaí,"an ndéarfaí?","ní déarfaí",deirinn,"an ndeirinn?","ní deirinn",deirteá,"an ndeirteá?","ní deirteá","deireadh sé/sí","an ndeireadh sé/sí?","ní deireadh sé/sí",deirimis,"an ndeirimis?","ní deirimis","deireadh muid","an ndeireadh muid?","ní deireadh muid","deireadh sibh","an ndeireadh sibh?","ní deireadh sibh",deiridís,"an ndeiridís?","ní deiridís","deireadh siad","an ndeireadh siad?","ní deireadh siad",deirtí,"an ndeirtí?","ní deirtí",abraim!,"ná habraim!",abair!,"ná habair!","abradh sé/sí!","ná habradh sé/sí!",abraimis!,"ná habraimis!","abradh muid!","ná habradh muid!",abraigí!,"ná habraigí!",abraidís!,"ná habraidís!","abradh siad!","ná habradh siad!",abairtear!,"ná habairtear!","go ndeire mé","nár deire mé","go ndeire tú","nár deire tú","go ndeire sé/sí","nár deire sé/sí","go ndeirimid","nár deirimid","go ndeire muid","nár deire muid","go ndeire sibh","nár deire sibh","go ndeire siad","nár deire siad","go ndeirtear","nár deirtear"
adhlaic,bury,adhlacadh,adhlactha,"d'adhlaic mé","ar adhlaic mé?","níor adhlaic mé","d'adhlaic tú","ar adhlaic tú?","níor adhlaic tú","d'adhlaic sé/sí","ar adhlaic sé/sí?","níor adhlaic sé/sí",d'adhlacamar,"ar adhlacamar?","níor adhlacamar","d'adhlaic muid","ar adhlaic muid?","níor adhlaic muid","d'adhlaic sibh","ar adhlaic sibh?","níor adhlaic sibh","d'adhlaic siad","ar adhlaic siad?","níor adhlaic siad",d'adhlacadar,"ar adhlacadar?","níor adhlacadar",adhlacadh,"ar adhlacadh?","níor adhlacadh",adhlacaim,"an adhlacaim?","ní adhlacaim","adhlacann tú","an adhlacann tú?","ní adhlacann tú","adhlacann sé/sí","an adhlacann sé/sí?","ní adhlacann sé/sí",adhlacaimid,"an adhlacaimid?","ní adhlacaimid","adhlacann muid","an adhlacann muid?","ní adhlacann muid","adhlacann sibh","an adhlacann sibh?","ní adhlacann sibh","adhlacann siad","an adhlacann siad?","ní adhlacann siad",adhlactar,"an adhlactar?","ní adhlactar","adhlacfaidh mé","an adhlacfaidh mé?","ní adhlacfaidh mé","adhlacfaidh tú","an adhlacfaidh tú?","ní adhlacfaidh tú","adhlacfaidh sé/sí","an adhlacfaidh sé/sí?","ní adhlacfaidh sé/sí",adhlacfaimid,"an adhlacfaimid?","ní adhlacfaimid","adhlacfaidh muid","an adhlacfaidh muid?","ní adhlacfaidh muid","adhlacfaidh sibh","an adhlacfaidh sibh?","ní adhlacfaidh sibh","adhlacfaidh siad","an adhlacfaidh siad?","ní adhlacfaidh siad",adhlacfar,"an adhlacfar?","ní adhlacfar",d'adhlacfainn,"an adhlacfainn?","ní adhlacfainn",d'adhlacfá,"an adhlacfá?","ní adhlacfá","d'adhlacfadh sé/sí","an adhlacfadh sé/sí?","ní adhlacfadh sé/sí",d'adhlacfaimis,"an adhlacfaimis?","ní adhlacfaimis","d'adhlacfadh muid","an adhlacfadh muid?","ní adhlacfadh muid","d'adhlacfadh sibh","an adhlacfadh sibh?","ní adhlacfadh sibh",d'adhlacfaidís,"an adhlacfaidís?","ní adhlacfaidís","d'adhlacfadh siad","an adhlacfadh siad?","ní adhlacfadh siad",d'adhlacfaí,"an adhlacfaí?","ní adhlacfaí",d'adhlacainn,"an adhlacainn?","ní adhlacainn",d'adhlactá,"an adhlactá?","ní adhlactá","d'adhlacadh sé/sí","an adhlacadh sé/sí?","ní adhlacadh sé/sí",d'adhlacaimis,"an adhlacaimis?","ní adhlacaimis","d'adhlacadh muid","an adhlacadh muid?","ní adhlacadh muid","d'adhlacadh sibh","an adhlacadh sibh?","ní adhlacadh sibh",d'adhlacaidís,"an adhlacaidís?","ní adhlacaidís","d'adhlacadh siad","an adhlacadh siad?","ní adhlacadh siad",d'adhlactaí,"an adhlactaí?","ní adhlactaí",adhlacaim!,"ná hadhlacaim!",adhlaic!,"ná hadhlaic!","adhlacadh sé/sí!","ná hadhlacadh sé/sí!",adhlacaimis!,"ná hadhlacaimis!","adhlacadh muid!","ná hadhlacadh muid!",adhlacaigí!,"ná hadhlacaigí!",adhlacaidís!,"ná hadhlacaidís!","adhlacadh siad!","ná hadhlacadh siad!",adhlactar!,"ná hadhlactar!","go n-adhlaca mé","nár adhlaca mé","go n-adhlaca tú","nár adhlaca tú","go n-adhlaca sé/sí","nár adhlaca sé/sí","go n-adhlacaimid","nár adhlacaimid","go n-adhlaca muid","nár adhlaca muid","go n-adhlaca sibh","nár adhlaca sibh","go n-adhlaca siad","nár adhlaca siad","go n-adhlactar","nár adhlactar"
admhaigh,admit,admháil,admhaithe,"d'admhaigh mé","ar admhaigh mé?","níor admhaigh mé","d'admhaigh tú","ar admhaigh tú?","níor admhaigh tú","d'admhaigh sé/sí","ar admhaigh sé/sí?","níor admhaigh sé/sí",d'admhaíomar,"ar admhaíomar?","níor admhaíomar","d'admhaigh muid","ar admhaigh muid?","níor admhaigh muid","d'admhaigh sibh","ar admhaigh sibh?","níor admhaigh sibh","d'admhaigh siad","ar admhaigh siad?","níor admhaigh siad",d'admhaíodar,"ar admhaíodar?","níor admhaíodar",admhaíodh,"ar admhaíodh?","níor admhaíodh",admhaím,"an admhaím?","ní admhaím","admhaíonn tú","an admhaíonn tú?","ní admhaíonn tú","admhaíonn sé/sí","an admhaíonn sé/sí?","ní admhaíonn sé/sí",admhaímid,"an admhaímid?","ní admhaímid","admhaíonn muid","an admhaíonn muid?","ní admhaíonn muid","admhaíonn sibh","an admhaíonn sibh?","ní admhaíonn sibh","admhaíonn siad","an admhaíonn siad?","ní admhaíonn siad",admhaítear,"an admhaítear?","ní admhaítear","admhóidh mé","an admhóidh mé?","ní admhóidh mé","admhóidh tú","an admhóidh tú?","ní admhóidh tú","admhóidh sé/sí","an admhóidh sé/sí?","ní admhóidh sé/sí",admhóimid,"an admhóimid?","ní admhóimid","admhóidh muid","an admhóidh muid?","ní admhóidh muid","admhóidh sibh","an admhóidh sibh?","ní admhóidh sibh","admhóidh siad","an admhóidh siad?","ní admhóidh siad",admhófar,"an admhófar?","ní admhófar",d'admhóinn,"an admhóinn?","ní admhóinn",d'admhófá,"an admhófá?","ní admhófá","d'admhódh sé/sí","an admhódh sé/sí?","ní admhódh sé/sí",d'admhóimis,"an admhóimis?","ní admhóimis","d'admhódh muid","an admhódh muid?","ní admhódh muid","d'admhódh sibh","an admhódh sibh?","ní admhódh sibh",d'admhóidís,"an admhóidís?","ní admhóidís","d'admhódh siad","an admhódh siad?","ní admhódh siad",d'admhófaí,"an admhófaí?","ní admhófaí",d'admhaínn,"an admhaínn?","ní admhaínn",d'admhaíteá,"an admhaíteá?","ní admhaíteá","d'admhaíodh sé/sí","an admhaíodh sé/sí?","ní admhaíodh sé/sí",d'admhaímis,"an admhaímis?","ní admhaímis","d'admhaíodh muid","an admhaíodh muid?","ní admhaíodh muid","d'admhaíodh sibh","an admhaíodh sibh?","ní admhaíodh sibh",d'admhaídís,"an admhaídís?","ní admhaídís","d'admhaíodh siad","an admhaíodh siad?","ní admhaíodh siad",d'admhaítí,"an admhaítí?","ní admhaítí",admhaím!,"ná hadmhaím!",admhaigh!,"ná hadmhaigh!","admhaíodh sé/sí!","ná hadmhaíodh sé/sí!",admhaímis!,"ná hadmhaímis!","admhaíodh muid!","ná hadmhaíodh muid!",admhaígí!,"ná hadmhaígí!",admhaídís!,"ná hadmhaídís!","admhaíodh siad!","ná hadmhaíodh siad!",admhaítear!,"ná hadmhaítear!","go n-admhaí mé","nár admhaí mé","go n-admhaí tú","nár admhaí tú","go n-admhaí sé/sí","nár admhaí sé/sí","go n-admhaímid","nár admhaímid","go n-admhaí muid","nár admhaí muid","go n-admhaí sibh","nár admhaí sibh","go n-admhaí siad","nár admhaí siad","go n-admhaítear","nár admhaítear"
agair,avenge,agairt,agartha,"d'agair mé","ar agair mé?","níor agair mé","d'agair tú","ar agair tú?","níor agair tú","d'agair sé/sí","ar agair sé/sí?","níor agair sé/sí",d'agraíomar,"ar agraíomar?","níor agraíomar","d'agair muid","ar agair muid?","níor agair muid","d'agair sibh","ar agair sibh?","níor agair sibh","d'agair siad","ar agair siad?","níor agair siad",d'agraíodar,"ar agraíodar?","níor agraíodar",agraíodh,"ar agraíodh?","níor agraíodh",agraím,"an agraím?","ní agraím","agraíonn tú","an agraíonn tú?","ní agraíonn tú","agraíonn sé/sí","an agraíonn sé/sí?","ní agraíonn sé/sí",agraímid,"an agraímid?","ní agraímid","agraíonn muid","an agraíonn muid?","ní agraíonn muid","agraíonn sibh","an agraíonn sibh?","ní agraíonn sibh","agraíonn siad","an agraíonn siad?","ní agraíonn siad",agraítear,"an agraítear?","ní agraítear","agróidh mé","an agróidh mé?","ní agróidh mé","agróidh tú","an agróidh tú?","ní agróidh tú","agróidh sé/sí","an agróidh sé/sí?","ní agróidh sé/sí",agróimid,"an agróimid?","ní agróimid","agróidh muid","an agróidh muid?","ní agróidh muid","agróidh sibh","an agróidh sibh?","ní agróidh sibh","agróidh siad","an agróidh siad?","ní agróidh siad",agrófar,"an agrófar?","ní agrófar",d'agróinn,"an agróinn?","ní agróinn",d'agrófá,"an agrófá?","ní agrófá","d'agródh sé/sí","an agródh sé/sí?","ní agródh sé/sí",d'agróimis,"an agróimis?","ní agróimis","d'agródh muid","an agródh muid?","ní agródh muid","d'agródh sibh","an agródh sibh?","ní agródh sibh",d'agróidís,"an agróidís?","ní agróidís","d'agródh siad","an agródh siad?","ní agródh siad",d'agrófaí,"an agrófaí?","ní agrófaí",d'agraínn,"an agraínn?","ní agraínn",d'agraíteá,"an agraíteá?","ní agraíteá","d'agraíodh sé/sí","an agraíodh sé/sí?","ní agraíodh sé/sí",d'agraímis,"an agraímis?","ní agraímis","d'agraíodh muid","an agraíodh muid?","ní agraíodh muid","d'agraíodh sibh","an agraíodh sibh?","ní agraíodh sibh",d'agraídís,"an agraídís?","ní agraídís","d'agraíodh siad","an agraíodh siad?","ní agraíodh siad",d'agraítí,"an agraítí?","ní agraítí",agraím!,"ná hagraím!",agair!,"ná hagair!","agraíodh sé/sí!","ná hagraíodh sé/sí!",agraímis!,"ná hagraímis!","agraíodh muid!","ná hagraíodh muid!",agraígí!,"ná hagraígí!",agraídís!,"ná hagraídís!","agraíodh siad!","ná hagraíodh siad!",agraítear!,"ná hagraítear!","go n-agraí mé","nár agraí mé","go n-agraí tú","nár agraí tú","go n-agraí sé/sí","nár agraí sé/sí","go n-agraímid","nár agraímid","go n-agraí muid","nár agraí muid","go n-agraí sibh","nár agraí sibh","go n-agraí siad","nár agraí siad","go n-agraítear","nár agraítear"
aimsigh,aim,aimsiú,aimsithe,"d'aimsigh mé","ar aimsigh mé?","níor aimsigh mé","d'aimsigh tú","ar aimsigh tú?","níor aimsigh tú","d'aimsigh sé/sí","ar aimsigh sé/sí?","níor aimsigh sé/sí",d'aimsíomar,"ar aimsíomar?","níor aimsíomar","d'aimsigh muid","ar aimsigh muid?","níor aimsigh muid","d'aimsigh sibh","ar aimsigh sibh?","níor aimsigh sibh","d'aimsigh siad","ar aimsigh siad?","níor aimsigh siad",d'aimsíodar,"ar aimsíodar?","níor aimsíodar",aimsíodh,"ar aimsíodh?","níor aimsíodh",aimsím,"an aimsím?","ní aimsím","aimsíonn tú","an aimsíonn tú?","ní aimsíonn tú","aimsíonn sé/sí","an aimsíonn sé/sí?","ní aimsíonn sé/sí",aimsímid,"an aimsímid?","ní aimsímid","aimsíonn muid","an aimsíonn muid?","ní aimsíonn muid","aimsíonn sibh","an aimsíonn sibh?","ní aimsíonn sibh","aimsíonn siad","an aimsíonn siad?","ní aimsíonn siad",aimsítear,"an aimsítear?","ní aimsítear","aimseoidh mé","an aimseoidh mé?","ní aimseoidh mé","aimseoidh tú","an aimseoidh tú?","ní aimseoidh tú","aimseoidh sé/sí","an aimseoidh sé/sí?","ní aimseoidh sé/sí",aimseoimid,"an aimseoimid?","ní aimseoimid","aimseoidh muid","an aimseoidh muid?","ní aimseoidh muid","aimseoidh sibh","an aimseoidh sibh?","ní aimseoidh sibh","aimseoidh siad","an aimseoidh siad?","ní aimseoidh siad",aimseofar,"an aimseofar?","ní aimseofar",d'aimseoinn,"an aimseoinn?","ní aimseoinn",d'aimseofá,"an aimseofá?","ní aimseofá","d'aimseodh sé/sí","an aimseodh sé/sí?","ní aimseodh sé/sí",d'aimseoimis,"an aimseoimis?","ní aimseoimis","d'aimseodh muid","an aimseodh muid?","ní aimseodh muid","d'aimseodh sibh","an aimseodh sibh?","ní aimseodh sibh",d'aimseoidís,"an aimseoidís?","ní aimseoidís","d'aimseodh siad","an aimseodh siad?","ní aimseodh siad",d'aimseofaí,"an aimseofaí?","ní aimseofaí",d'aimsínn,"an aimsínn?","ní aimsínn",d'aimsíteá,"an aimsíteá?","ní aimsíteá","d'aimsíodh sé/sí","an aimsíodh sé/sí?","ní aimsíodh sé/sí",d'aimsímis,"an aimsímis?","ní aimsímis","d'aimsíodh muid","an aimsíodh muid?","ní aimsíodh muid","d'aimsíodh sibh","an aimsíodh sibh?","ní aimsíodh sibh",d'aimsídís,"an aimsídís?","ní aimsídís","d'aimsíodh siad","an aimsíodh siad?","ní aimsíodh siad",d'aimsítí,"an aimsítí?","ní aimsítí",aimsím!,"ná haimsím!",aimsigh!,"ná haimsigh!","aimsíodh sé/sí!","ná haimsíodh sé/sí!",aimsímis!,"ná haimsímis!","aimsíodh muid!","ná haimsíodh muid!",aimsígí!,"ná haimsígí!",aimsídís!,"ná haimsídís!","aimsíodh siad!","ná haimsíodh siad!",aimsítear!,"ná haimsítear!","go n-aimsí mé","nár aimsí mé","go n-aimsí tú","nár aimsí tú","go n-aimsí sé/sí","nár aimsí sé/sí","go n-aimsímid","nár aimsímid","go n-aimsí muid","nár aimsí muid","go n-aimsí sibh","nár aimsí sibh","go n-aimsí siad","nár aimsí siad","go n-aimsítear","nár aimsítear"
ainmnigh,name,ainmniú,ainmnithe,"d'ainmnigh mé","ar ainmnigh mé?","níor ainmnigh mé","d'ainmnigh tú","ar ainmnigh tú?","níor ainmnigh tú","d'ainmnigh sé/sí","ar ainmnigh sé/sí?","níor ainmnigh sé/sí",d'ainmníomar,"ar ainmníomar?","níor ainmníomar","d'ainmnigh muid","ar ainmnigh muid?","níor ainmnigh muid","d'ainmnigh sibh","ar ainmnigh sibh?","níor ainmnigh sibh","d'ainmnigh siad","ar ainmnigh siad?","níor ainmnigh siad",d'ainmníodar,"ar ainmníodar?","níor ainmníodar",ainmníodh,"ar ainmníodh?","níor ainmníodh",ainmním,"an ainmním?","ní ainmním","ainmníonn tú","an ainmníonn tú?","ní ainmníonn tú","ainmníonn sé/sí","an ainmníonn sé/sí?","ní ainmníonn sé/sí",ainmnímid,"an ainmnímid?","ní ainmnímid","ainmníonn muid","an ainmníonn muid?","ní ainmníonn muid","ainmníonn sibh","an ainmníonn sibh?","ní ainmníonn sibh","ainmníonn siad","an ainmníonn siad?","ní ainmníonn siad",ainmnítear,"an ainmnítear?","ní ainmnítear","ainmneoidh mé","an ainmneoidh mé?","ní ainmneoidh mé","ainmneoidh tú","an ainmneoidh tú?","ní ainmneoidh tú","ainmneoidh sé/sí","an ainmneoidh sé/sí?","ní ainmneoidh sé/sí",ainmneoimid,"an ainmneoimid?","ní ainmneoimid","ainmneoidh muid","an ainmneoidh muid?","ní ainmneoidh muid","ainmneoidh sibh","an ainmneoidh sibh?","ní ainmneoidh sibh","ainmneoidh siad","an ainmneoidh siad?","ní ainmneoidh siad",ainmneofar,"an ainmneofar?","ní ainmneofar",d'ainmneoinn,"an ainmneoinn?","ní ainmneoinn",d'ainmneofá,"an ainmneofá?","ní ainmneofá","d'ainmneodh sé/sí","an ainmneodh sé/sí?","ní ainmneodh sé/sí",d'ainmneoimis,"an ainmneoimis?","ní ainmneoimis","d'ainmneodh muid","an ainmneodh muid?","ní ainmneodh muid","d'ainmneodh sibh","an ainmneodh sibh?","ní ainmneodh sibh",d'ainmneoidís,"an ainmneoidís?","ní ainmneoidís","d'ainmneodh siad","an ainmneodh siad?","ní ainmneodh siad",d'ainmneofaí,"an ainmneofaí?","ní ainmneofaí",d'ainmnínn,"an ainmnínn?","ní ainmnínn",d'ainmníteá,"an ainmníteá?","ní ainmníteá","d'ainmníodh sé/sí","an ainmníodh sé/sí?","ní ainmníodh sé/sí",d'ainmnímis,"an ainmnímis?","ní ainmnímis","d'ainmníodh muid","an ainmníodh muid?","ní ainmníodh muid","d'ainmníodh sibh","an ainmníodh sibh?","ní ainmníodh sibh",d'ainmnídís,"an ainmnídís?","ní ainmnídís","d'ainmníodh siad","an ainmníodh siad?","ní ainmníodh siad",d'ainmnítí,"an ainmnítí?","ní ainmnítí",ainmním!,"ná hainmním!",ainmnigh!,"ná hainmnigh!","ainmníodh sé/sí!","ná hainmníodh sé/sí!",ainmnímis!,"ná hainmnímis!","ainmníodh muid!","ná hainmníodh muid!",ainmnígí!,"ná hainmnígí!",ainmnídís!,"ná hainmnídís!","ainmníodh siad!","ná hainmníodh siad!",ainmnítear!,"ná hainmnítear!","go n-ainmní mé","nár ainmní mé","go n-ainmní tú","nár ainmní tú","go n-ainmní sé/sí","nár ainmní sé/sí","go n-ainmnímid","nár ainmnímid","go n-ainmní muid","nár ainmní muid","go n-ainmní sibh","nár ainmní sibh","go n-ainmní siad","nár ainmní siad","go n-ainmnítear","nár ainmnítear"
aiséirigh,"rise again",aiséirí,aiséirithe,"d'aiséirigh mé","ar aiséirigh mé?","níor aiséirigh mé","d'aiséirigh tú","ar aiséirigh tú?","níor aiséirigh tú","d'aiséirigh sé/sí","ar aiséirigh sé/sí?","níor aiséirigh sé/sí",d'aiséiríomar,"ar aiséiríomar?","níor aiséiríomar","d'aiséirigh muid","ar aiséirigh muid?","níor aiséirigh muid","d'aiséirigh sibh","ar aiséirigh sibh?","níor aiséirigh sibh","d'aiséirigh siad","ar aiséirigh siad?","níor aiséirigh siad",d'aiséiríodar,"ar aiséiríodar?","níor aiséiríodar",aiséiríodh,"ar aiséiríodh?","níor aiséiríodh",aiséirím,"an aiséirím?","ní aiséirím","aiséiríonn tú","an aiséiríonn tú?","ní aiséiríonn tú","aiséiríonn sé/sí","an aiséiríonn sé/sí?","ní aiséiríonn sé/sí",aiséirímid,"an aiséirímid?","ní aiséirímid","aiséiríonn muid","an aiséiríonn muid?","ní aiséiríonn muid","aiséiríonn sibh","an aiséiríonn sibh?","ní aiséiríonn sibh","aiséiríonn siad","an aiséiríonn siad?","ní aiséiríonn siad",aiséirítear,"an aiséirítear?","ní aiséirítear","aiséireoidh mé","an aiséireoidh mé?","ní aiséireoidh mé","aiséireoidh tú","an aiséireoidh tú?","ní aiséireoidh tú","aiséireoidh sé/sí","an aiséireoidh sé/sí?","ní aiséireoidh sé/sí",aiséireoimid,"an aiséireoimid?","ní aiséireoimid","aiséireoidh muid","an aiséireoidh muid?","ní aiséireoidh muid","aiséireoidh sibh","an aiséireoidh sibh?","ní aiséireoidh sibh","aiséireoidh siad","an aiséireoidh siad?","ní aiséireoidh siad",aiséireofar,"an aiséireofar?","ní aiséireofar",d'aiséireoinn,"an aiséireoinn?","ní aiséireoinn",d'aiséireofá,"an aiséireofá?","ní aiséireofá","d'aiséireodh sé/sí","an aiséireodh sé/sí?","ní aiséireodh sé/sí",d'aiséireoimis,"an aiséireoimis?","ní aiséireoimis","d'aiséireodh muid","an aiséireodh muid?","ní aiséireodh muid","d'aiséireodh sibh","an aiséireodh sibh?","ní aiséireodh sibh",d'aiséireoidís,"an aiséireoidís?","ní aiséireoidís","d'aiséireodh siad","an aiséireodh siad?","ní aiséireodh siad",d'aiséireofaí,"an aiséireofaí?","ní aiséireofaí",d'aiséirínn,"an aiséirínn?","ní aiséirínn",d'aiséiríteá,"an aiséiríteá?","ní aiséiríteá","d'aiséiríodh sé/sí","an aiséiríodh sé/sí?","ní aiséiríodh sé/sí",d'aiséirímis,"an aiséirímis?","ní aiséirímis","d'aiséiríodh muid","an aiséiríodh muid?","ní aiséiríodh muid","d'aiséiríodh sibh","an aiséiríodh sibh?","ní aiséiríodh sibh",d'aiséirídís,"an aiséirídís?","ní aiséirídís","d'aiséiríodh siad","an aiséiríodh siad?","ní aiséiríodh siad",d'aiséirítí,"an aiséirítí?","ní aiséirítí",aiséirím!,"ná haiséirím!",aiséirigh!,"ná haiséirigh!","aiséiríodh sé/sí!","ná haiséiríodh sé/sí!",aiséirímis!,"ná haiséirímis!","aiséiríodh muid!","ná haiséiríodh muid!",aiséirígí!,"ná haiséirígí!",aiséirídís!,"ná haiséirídís!","aiséiríodh siad!","ná haiséiríodh siad!",aiséirítear!,"ná haiséirítear!","go n-aiséirí mé","nár aiséirí mé","go n-aiséirí tú","nár aiséirí tú","go n-aiséirí sé/sí","nár aiséirí sé/sí","go n-aiséirímid","nár aiséirímid","go n-aiséirí muid","nár aiséirí muid","go n-aiséirí sibh","nár aiséirí sibh","go n-aiséirí siad","nár aiséirí siad","go n-aiséirítear","nár aiséirítear"
